condition,display_type,hdd_type,os,cpu_line,cpu_cores,cpu_speed,ram_size,ram_type,ram_speed,hdd_size,display_surface,display_resolution,gfx_type,weight,battery_capacity
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,,1.34 kg,4211 mAh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.4 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,Intel HD Graphics 520,1.5 kg,55 Wh
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i7,2,,4 GB,,,160 GB,matowa,1280 x 800,,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,4,3.4 GHz,8 GB,DDR3,1866,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.42 kg,45 Wh
Nowy,IPS,SSD,Mac OS,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,2880 x 1800,AMD Radeon Pro 555X,1.83 kg,83.6 Wh
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i5,2,,8 GB,,,240 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3L,2133,1024 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.29 kg,60 mAh
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,256 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3L,2133,512 GB,błyszcząca,1920 x 1080,,1.29 kg,60 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR3L,,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,2800 mAh
Nowy,TN,SSD,Windows 10 Professional,Intel Core i3,2,2 GHz,8 GB,DDR4,,240 GB,matowa,1366 x 768,Intel HD Graphics 520,1.9 kg,32 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,1600,500 GB,matowa,1366 x 768,Intel HD Graphics 505,2 kg,3070 mAh
Po zwrocie,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,2400,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2 kg,4160 mAh
Odnowiony przez producenta,IPS,SSD,Windows 8.1 Professional 64-bit,Intel Core i5,2,2.9 GHz,16 GB,DDR4,,256 GB,matowa,1920 x 1080,Intel HD Graphics 5500,,
Używany,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.2 GHz,4 GB,DDR3L,1600,256 GB,matowa,1920 x 1080,Intel HD Graphics 5500,,
Nowy,,HDD,brak systemu,Intel Celeron,2,2.6 GHz,4 GB,DDR4,2400,500 GB,matowa,1920 x 1080,,2 kg,3070 mAh
Nowy,IPS,HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,DDR3L,,320 GB,matowa,1920 x 1080,,,
Nowy,,eMMC,Windows 10 Home,Intel Celeron Dual-Core,2,2.48 GHz,2 GB,,,32 GB,błyszcząca,1366 x 768,Intel HD Graphics 400,,
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i5,2,2.8 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,Intel HD Graphics 4000,1.7 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,3.9 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.9 kg,51 Wh
Używany,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.1 GHz,8 GB,DDR3L,,256 GB,matowa,1920 x 1080,,,
Odnowiony przez producenta,,SSD,Windows 10 Professional,Intel Core i5,2,2.9 GHz,16 GB,DDR4,,512 GB,matowa,1366 x 768,Intel HD Graphics 5500,,
Odnowiony przez producenta,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.5 GHz,8 GB,DDR3L,,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,,60 Wh
Odnowiony przez producenta,,SSD,Windows 7 Professional 64-bit,Intel Core i7,4,3.8 GHz,16 GB,DDR3L,,256 GB,matowa,1920 x 1080,NVIDIA Quadro K2100M,,97 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i3,2,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.33 kg,3653 mAh
Nowy,TN,HDD,Windows 10 Home,Intel Core i3,2,3.4 GHz,4 GB,DDR4,,1000 GB,matowa,1366 x 768,,2.2 kg,30 Wh
Nowy,TN,HDD,brak systemu,Intel Pentium Dual-Core,2,2.1 GHz,4 GB,DDR4,2400,1000 GB,matowa,1366 x 768,Intel HD Graphics 510,1.95 kg,3070 mAh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,1128 GB,matowa,1920 x 1080,,2.45 kg,42 Wh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,2,3.9 GHz,16 GB,DDR4,2133,512 GB,błyszcząca,2560 x 1440,Intel HD Graphics 620,1.36 kg,60 Wh
Odnowiony przez producenta,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.5 GHz,16 GB,DDR4,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1070,,
Używany,,SSD,Windows 10 Home,Intel Core i5,2,,8 GB,,,120 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core m5,2,2.7 GHz,8 GB,DDR3,1866,256 GB,błyszcząca,2160 x 1440,Intel HD Graphics 515,0.64 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,256 GB,błyszcząca,3840 x 2160,NVIDIA GeForce GTX 1050 Ti Max-Q,1.8 kg,97 Wh
Nowy,IPS,eMMC,Windows 10 Home,Intel Celeron Dual-Core,2,2.6 GHz,4 GB,DDR4,2400,64 GB,matowa,1920 x 1080,,1.3 kg,4670 mAh
Nowy,IPS,Hybrydowy,Windows 10 Home,Intel Core i7,6,4.1 GHz,8 GB,DDR4,2666,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.31 kg,4240 mAh
Używany,TN,SSD,"Windows 7 Home 64-bit, Windows 10 Professional, Windows 8.1 Professional 64-bit",Intel Core i7,2,3.3 GHz,16 GB,DDR3,,512 GB,błyszcząca,1920 x 1080,Intel HD Graphics 4400,1.8 kg,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.5 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,,60 mAh
Nowy,TN,HDD,brak systemu,Intel Core i5,4,2.3 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.2 kg,45 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,2,3.5 GHz,8 GB,DDR4,,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,,
Nowy,,SSD,brak systemu,Intel Core i7,4,4 GHz,16 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,1.53 kg,3727 mAh
Używany,,SSD,Windows 10 Home,Intel Core i7,2,,8 GB,DDR3L,,256 GB,matowa,1366 x 768,,3 kg,
Używany,,SSD,Mac OS,Intel Core i7,2,3.2 GHz,8 GB,,1600,256 GB,matowa,1440 x 900,Intel HD Graphics 4000,1.35 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.9 GHz,16 GB,DDR4,2400,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1080,4.42 kg,99 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,480 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,2.1 kg,30 Wh
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,250 GB,matowa,1920 x 1080,,2.08 kg,30 Wh
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.98 kg,3220 mAh
Nowy,IPS,HDD,brak systemu,Intel Core i7,6,4.1 GHz,8 GB,DDR4,2666,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.26 kg,4670 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR3,1866,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.21 kg,52 Wh
Nowy,IPS,Hybrydowy,brak systemu,Intel Core i7,6,4.1 GHz,8 GB,DDR4,2666,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.31 kg,4240 mAh
Nowy,IPS,Hybrydowy,brak systemu,Intel Core i7,6,4.1 GHz,8 GB,DDR4,2666,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.31 kg,4240 mAh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,2400,1024 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,3,4 GHz,8 GB,DDR4,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,,HDD,Windows 10 Home,Intel Core i5,3,3.4 GHz,8 GB,DDR4,2133,1000 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,2.2 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR3,1866,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.32 kg,
Po zwrocie,,SSD,Windows 10 Professional,Intel Core i7,4,3.9 GHz,16 GB,DDR4,,256 GB,matowa,1920 x 1080,,,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,256 GB,błyszcząca antyrefleksyjna,1920 x 1080,NVIDIA GeForce MX150,1.4 kg,
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,2.9 GHz,4 GB,DDR3L,,128 GB,matowa,1366 x 768,,,
Odnowiony przez producenta,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,128 GB,błyszcząca antyrefleksyjna,1366 x 768,,,
Nowy,TN,SSD,Windows 10 Professional,Intel Core i5,2,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.67 kg,42 Wh
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,3 GHz,4 GB,DDR4,,256 GB,matowa,1366 x 768,Intel HD Graphics 520,1.26 kg,55 Wh
Odnowiony przez producenta,,HDD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2133,1000 GB,błyszcząca,1600 x 900,Intel HD Graphics 620,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR3L,2133,256 GB,błyszcząca,1920 x 1080,,1.29 kg,60 mAh
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.2 GHz,8 GB,DDR3,,256 GB,matowa,1600 x 900,Intel HD Graphics 4400,2.2 kg,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.67 kg,42 Wh
Odnowiony przez producenta,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,1256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.65 kg,56 Wh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR3L,,256 GB,błyszcząca,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.27 kg,3220 mAh
Używany,TN,SSD,brak systemu,Intel Core i5,2,3 GHz,8 GB,DDR3L,,256 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.4 kg,
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,4,,32 GB,,,240 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD,Mac OS,Intel Core i5,4,3.8 GHz,8 GB,DDR3L,2133,256 GB,błyszcząca,2560 x 1600,Intel Iris Plus Graphics 655,1.37 kg,58 Wh
Używany,IPS,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,4,,16 GB,DDR3,,500 GB,matowa,1920 x 1080,,,
Nowy,TN,SSD,brak systemu,AMD A6,2,2.9 GHz,8 GB,DDR4,2133,240 GB,matowa,1600 x 900,,2.41 kg,30 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.93 kg,3220 mAh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,TN,SSD,brak systemu,AMD A6,2,2.9 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,AMD Radeon 530M,2.07 kg,30 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,32 GB,DDR4,2400,1024 GB,błyszcząca,3840 x 2160,NVIDIA GeForce GTX 1050 Ti Max-Q,1.8 kg,97 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR3,2133,256 GB,błyszcząca,1920 x 1080,,1.74 kg,30 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Pentium Dual-Core,2,2.1 GHz,4 GB,DDR4,2400,1000 GB,matowa,1366 x 768,Intel HD Graphics 510,1.95 kg,3070 mAh
Nowy,IPS,SSD,Windows 10 Home,AMD Ryzen 5,4,3.6 GHz,8 GB,DDR4,2400,128 GB,błyszcząca,1920 x 1080,,1.3 kg,53.2 Wh
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 8.1 Professional 64-bit",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,240 GB,matowa,1600 x 900,,,
Powystawowy,,SSD + HDD,Windows 10 Home,Intel Core i7,2,3.5 GHz,8 GB,DDR4,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GT 940MX,,
Odnowiony przez producenta,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,8 GB,DDR3,1866,256 GB,matowa,1366 x 768,Intel HD Graphics 505,,
Odnowiony przez producenta,IPS,SSD + HDD,Windows 10 Professional,Intel Core i7,4,3.9 GHz,16 GB,DDR4,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1070,,
Używany,IPS,SSD,"Windows 8.1 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.3 GHz,4 GB,DDR3L,,120 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.7 kg,
Używany,TN,SSD,Windows 10 Professional,Intel Core i7,2,3.3 GHz,8 GB,DDR3,,256 GB,matowa,1366 x 768,,,
Używany,TN,HDD,Mac OS,Intel Core i7,4,2.9 GHz,4 GB,DDR3,1600,320 GB,błyszcząca,1440 x 900,,2.54 kg,
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i9,6,4.8 GHz,32 GB,DDR4,2400,1512 GB,matowa,3840 x 2160,NVIDIA GeForce GTX 1080,3.5 kg,99 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i5,4,,8 GB,DDR4,2133,1000 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1512 GB,matowa,3840 x 2160,NVIDIA GeForce GTX 1060,2.62 kg,70 Wh
Używany,,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 7 Professional 32-bit",Intel Core i7,4,,16 GB,,,240 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,AMD Ryzen 5,4,3.6 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,2.2 kg,3320 mAh
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3 GHz,4 GB,DDR3L,,256 GB,matowa,1366 x 768,Intel HD Graphics 4400,1.4 kg,45 Wh
Nowy,IPS,SSD,Windows 10 Professional,Intel Core i7,6,4.8 GHz,32 GB,DDR4,2400,1024 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050 Ti Max-Q,1.8 kg,56 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,2000 GB,matowa,1920 x 1080,AMD Radeon 530M,2.2 kg,
Używany,TN,HDD,"inny, Windows 7 Professional 32-bit, Windows 7 Professional 64-bit",Intel Core i3,2,,3 GB,DDR3,,250 GB,matowa,1366 x 768,,2.5 kg,40 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3,2133,512 GB,błyszcząca,3840 x 2160,,,
Nowy,TN,HDD,Windows 10 Home,Intel Core i3,2,3.4 GHz,4 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,,1.62 kg,3727 mAh
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i5,2,2.6 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,,1.7 kg,
Nowy,,Brak,brak systemu,Intel Celeron Dual-Core,2,,4 GB,DDR3,,0 GB,matowa,Inna,,,
Nowy,IPS,SSD,Mac OS,Intel Core i7,6,4.3 GHz,32 GB,DDR4,2400,512 GB,błyszcząca,2880 x 1800,AMD Radeon Pro 560,1.83 kg,83.6 Wh
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i7,4,3.7 GHz,8 GB,DDR3,,240 GB,matowa,1920 x 1080,,3 kg,
Odnowiony przez producenta,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,4.1 GHz,16 GB,DDR4,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Używany,IPS,SSD,Windows 10 Professional,Intel Core i7,4,,16 GB,DDR3,,512 GB,matowa,1920 x 1280,,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,74 Wh
Nowy,,SSD,Windows 10 Home,AMD A9,2,3.6 GHz,8 GB,DDR4,1866,256 GB,matowa,1600 x 900,,2.5 kg,41 Wh
Odnowiony przez producenta,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,1866,1000 GB,matowa,1366 x 768,Intel HD Graphics 505,,
Nowy,IPS,SSD + HDD,Windows 10 Professional,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2666,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.81 kg,56 Wh
Nowy,,eMMC,Windows 10 Home,Inny procesor,4,,2 GB,,,64 GB,błyszcząca,1280 x 800,Intel HD Graphics 400,,
Nowy,,SSD,Windows 10 Professional,Intel Core i3,2,,8 GB,DDR4,2133,240 GB,matowa,1366 x 768,Intel HD Graphics 520,,
Nowy,,SSD,Windows 10 Professional,Intel Core i7,4,4 GHz,8 GB,DDR3,1866,256 GB,błyszcząca,3200 x 1800,,,
Nowy,,SSD + HDD,Linux,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1240 GB,matowa,1920 x 1080,AMD Radeon 530M,2.2 kg,42 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,4 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,AMD Radeon 530M,,
Nowy,,SSD,Windows 10 Home,Intel Celeron Dual-Core,2,2.48 GHz,4 GB,DDR3L,1600,32 GB,błyszcząca,1366 x 768,Intel HD Graphics 400,1.44 kg,41 Wh
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,DDR3,,500 GB,antyrefleksyjna,1366 x 768,,2.7 kg,
Odnowiony przez producenta,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,8 GB,DDR3,1866,512 GB,matowa,1366 x 768,Intel HD Graphics 505,,
Używany,IPS,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3.2 GHz,4 GB,,,128 GB,antyrefleksyjna,1366 x 768,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,1000 GB,matowa,1920 x 1080,,2.95 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,,8 GB,,,256 GB,matowa,1920 x 1080,,,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,,
Używany,TN,HDD,"Windows 10 Home, Windows 10 Professional, Windows 7 Professional 64-bit",Intel Core i5,2,3.2 GHz,8 GB,DDR3,,320 GB,matowa,1600 x 900,,2.2 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.32 kg,3220 mAh
Używany,,SSD,Mac OS,Intel Core i7,2,,8 GB,,,240 GB,błyszcząca antyrefleksyjna,1440 x 900,,,
Nowy,TN,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,1600,256 GB,matowa,1366 x 768,Intel HD Graphics 505,2 kg,
Używany,,HDD,Windows 10 Home,Intel Core i3,2,,4 GB,DDR4,2133,1000 GB,matowa,1600 x 900,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,16 GB,,,240 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,32 GB,DDR4,2400,1512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1070,3.78 kg,86 Wh
Nowy,IPS,SSD,Mac OS,Intel Core i5,4,,8 GB,DDR3L,2133,256 GB,błyszcząca,2560 x 1600,,1.37 kg,58 Wh
Nowy,,SSD + HDD,brak systemu,Intel Core i5,4,,8 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,TN,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,8 GB,DDR3L,1600,1000 GB,matowa,1920 x 1080,Intel HD Graphics 505,2.02 kg,30 Wh
Używany,,SSD,Windows 10 Home,Intel Core i7,2,,8 GB,DDR3,,120 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1000 GB,błyszcząca,3840 x 2160,NVIDIA GeForce GTX 1050,2 kg,72 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,1866,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.3 kg,60 Wh
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,120 GB,matowa,1920 x 1080,,,
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,NVIDIA GeForce MX150,,
Używany,,HDD,"Windows 7 Professional 64-bit, Windows 7 Home 64-bit",Intel Core i5,2,,4 GB,,,320 GB,matowa,1366 x 768,,,
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,DDR3,,320 GB,antyrefleksyjna,1366 x 768,,,
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,2,3.3 GHz,4 GB,DDR3L,,128 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.4 kg,34 Wh
Nowy,IPS,SSD,brak systemu,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,240 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,2.1 kg,30 Wh
Używany,,SSD,Windows 10 Professional,Intel Core i5,2,2.9 GHz,8 GB,DDR3L,1600,128 GB,matowa,1366 x 768,Intel HD Graphics 4400,1.42 kg,23.5 Wh
Nowy,,eMMC,Windows 10 Home,Inny procesor,4,1.83 GHz,2 GB,DDR3,1600,32 GB,matowa,1366 x 768,Intel HD Graphics 400,,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,3.2 GHz,4 GB,DDR3,,160 GB,matowa,1366 x 768,Intel HD Graphics 3000,2.2 kg,
Używany,,HDD,Windows 10 Home,Intel Core 2 Duo,2,,3 GB,,,160 GB,matowa,1280 x 800,,,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,3.3 GHz,8 GB,,,320 GB,matowa,1600 x 900,,,
Używany,,SSD + HDD,Windows 8.1 Professional 64-bit,Intel Core i7,4,,16 GB,,,240 GB,matowa,1920 x 1080,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,240 GB,matowa,1920 x 1080,,,
Odnowiony przez producenta,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.5 GHz,16 GB,DDR4,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,,16 GB,DDR4,2400,2256 GB,matowa,1920 x 1080,AMD Radeon 530M,2.79 kg,
Nowy,TN,SSD,Windows 10 Home,Intel Core i3,2,2.7 GHz,8 GB,DDR4,2133,128 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.42 kg,38 Wh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,2,3.6 GHz,8 GB,DDR3,,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 615,,
Nowy,,SSD,Windows 10 Professional,Intel Core i7,6,4.1 GHz,32 GB,DDR4,2400,512 GB,matowa,3840 x 2160,NVIDIA GeForce GTX 1050Ti,,
Nowy,,HDD,Windows 10 Home,Intel Core i5,2,3.1 GHz,4 GB,DDR4,2400,500 GB,matowa,1366 x 768,AMD Radeon R7 M445,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2666,1512 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1060,3.78 kg,86 mAh
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.3 GHz,4 GB,DDR3,,120 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,,HDD,Windows 10 Home,Intel Core i7,2,3.1 GHz,8 GB,DDR3,1600,500 GB,matowa,1920 x 1080,AMD Radeon R7 M360,3 kg,
